Destination Name,Country,Continent,Type,Avg Cost (USD/day),Best Season,Avg Rating,Annual Visitors (M),UNESCO Site
Serene Temple,Morocco,Africa,Beach,174.84,Summer,4.5,7.45,No
Sacred Valley,Germany,Europe,Religious,94.41,Summer,4.6,1.98,No
Serene Temple,South Africa,Africa,Adventure,228.96,Summer,4.7,0.7,Yes
Sacred Plaza,Australia,Oceania,Nature,120.96,Summer,4.3,2.24,No
Golden Ruins,Mexico,North America,Adventure,162.1,Spring,3.9,4.6,No
Hidden Valley,Thailand,Asia,Historical,190.82,Spring,4,1.83,Yes
Hidden Park,Spain,Europe,Adventure,104.6,Summer,4.1,4.83,No
Grand Valley,Brazil,South America,Beach,118.53,Autumn,4.7,5.39,No
Ancient Beach,New Zealand,Oceania,Historical,122.78,Spring,4.5,6.27,No
Serene Valley,Kenya,Africa,City,119.99,Spring,4.8,1.43,No
Hidden Ruins,China,Asia,Historical,119.91,Autumn,5,1.66,No
Ancient Park,Japan,Asia,Historical,123.32,Winter,4.5,9.14,No
Grand Canyon,Morocco,Africa,City,191.13,Winter,4.1,3.46,Yes
Golden Temple,Morocco,Africa,Religious,288.92,Winter,4.9,2.26,No
Serene Park,Italy,Europe,Historical,186.92,Autumn,4.6,1.34,Yes
Lush Ruins,Peru,South America,City,99.55,Autumn,4,3.08,No
Sacred Canyon,Brazil,South America,City,126.97,Winter,4.8,3.17,No
Mystic Forest,South Africa,Africa,Adventure,93.47,Autumn,4.5,8.12,No
Mystic Ruins,Vietnam,Asia,Beach,116.15,Summer,4.7,0.55,No
Lush Forest,Kenya,Africa,Adventure,179.11,Summer,4.8,7.43,No